country,vaccines
Albania,Pfizer/BioNTech
Argentina,"Sputnik V"
Austria,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Belgium,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Brazil,"Oxford/AstraZeneca, Sinovac"
Bulgaria,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"Cayman Islands",Pfizer/BioNTech
Chile,"Pfizer/BioNTech, Sinovac"
Croatia,Pfizer/BioNTech
Czechia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,"Moderna, Pfizer/BioNTech"
England,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"Faeroe Islands",Pfizer/BioNTech
Finland,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Gibraltar,Pfizer/BioNTech
Greece,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Hungary,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Iceland,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
India,"Covaxin, Oxford/AstraZeneca"
Indonesia,Sinovac
Ireland,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"Isle of Man","Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,"Moderna, Pfizer/BioNTech"
Italy,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Latvia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Lithuania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Malta,Pfizer/BioNTech
Mexico,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V"
Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing"
"Northern Ireland","Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Oman,"Oxford/AstraZeneca, Pfizer/BioNTech"
Poland,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Portugal,"Moderna, Pfizer/BioNTech"
Romania,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Scotland,"Oxford/AstraZeneca, Pfizer/BioNTech"
Serbia,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Seychelles,"Oxford/AstraZeneca, Sinopharm/Beijing"
Slovakia,Pfizer/BioNTech
Slovenia,"Oxford/AstraZeneca, Pfizer/BioNTech"
"South Africa",Johnson&Johnson
Spain,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sweden,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,"Moderna, Pfizer/BioNTech"
Turkey,Sinovac
"United Arab Emirates","Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
"United Kingdom","Oxford/AstraZeneca, Pfizer/BioNTech"
"United States","Moderna, Pfizer/BioNTech"
Wales,"Oxford/AstraZeneca, Pfizer/BioNTech"
