country,MAX(total_vaccinations),vaccines
"United States",70454064,"Moderna, Pfizer/BioNTech"
"United Kingdom",19913592,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,16785841,"Oxford/AstraZeneca, Pfizer/BioNTech"
India,13756940,"Covaxin, Oxford/AstraZeneca"
Turkey,8298805,Sinovac
Brazil,8101787,"Oxford/AstraZeneca, Sinovac"
Israel,7957787,"Moderna, Pfizer/BioNTech"
Germany,5910537,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"United Arab Emirates",5668264,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
France,4298573,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Italy,4074575,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Spain,3605635,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Morocco,3424295,"Oxford/AstraZeneca, Sinopharm/Beijing"
Chile,3345027,"Pfizer/BioNTech, Sinovac"
Poland,2759436,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Indonesia,2449451,Sinovac
Mexico,2271032,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V"
Scotland,1608269,"Oxford/AstraZeneca, Pfizer/BioNTech"
Romania,1506033,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Serbia,1393086,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Wales,982396,"Oxford/AstraZeneca, Pfizer/BioNTech"
Argentina,903915,"Sputnik V"
Greece,857306,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Hungary,808008,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Portugal,797005,"Moderna, Pfizer/BioNTech"
Belgium,757229,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,748791,"Moderna, Pfizer/BioNTech"
Sweden,720631,"Oxford/AstraZeneca, Pfizer/BioNTech"
Czechia,644321,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Austria,582135,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,556878,"Moderna, Pfizer/BioNTech"
"Northern Ireland",537086,"Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,468344,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Slovakia,433998,Pfizer/BioNTech
Finland,426806,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Ireland,373280,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Lithuania,234959,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bulgaria,204439,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Croatia,194267,Pfizer/BioNTech
Slovenia,171605,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,96980,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Malta,73644,Pfizer/BioNTech
Oman,67660,"Oxford/AstraZeneca, Pfizer/BioNTech"
Seychelles,65060,"Oxford/AstraZeneca, Sinopharm/Beijing"
"South Africa",63648,Johnson&Johnson
Latvia,60732,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,36071,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Gibraltar,34600,Pfizer/BioNTech
Iceland,32157,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"Cayman Islands",20468,Pfizer/BioNTech
"Isle of Man",19884,"Oxford/AstraZeneca, Pfizer/BioNTech"
"Faeroe Islands",6713,Pfizer/BioNTech
Albania,3049,Pfizer/BioNTech
